Chile ,,
VISAS ,Edad,Aplicar desde Exterior 
AUSTRALIA,18 - 30,SI
DINAMARCA,18 - 30,SI
ALEMANIA,18 - 30,SI
FRANCIA,18 - 30,NO
REPÚBLICA CHECA,18 - 30,NO
IRLANDA,18 - 30,NO
SUECIA,18 - 30,SI
COREA DEL SUR,18 - 30,NO
PORTUGAL,18 - 30,No se sabe
"ALIANZA DEL PACÍFICO (Colombia, México, Perú)",18 - 30,SI
JAPÓN,18 - 30,NO
AUSTRIA,18 - 30,NO
POLONIA,18 - 30,NO
NUEVA ZELANDA,18 - 35,SI
HUNGRÍA,18 - 35,SI
CANADÁ,18 - 35 ,SI
,,
,,
Argentina ,,
VISAS,Edad,Aplicar desde Exterior 
ALEMANIA,18 - 30,SI
AUSTRALIA,18 - 30,SI
DINAMARCA,18 - 30,NO
HOLANDA,18 - 30,NO
JAPÓN,18 - 30,NO
NORUEGA,18 - 30,NO
PORTUGAL,18 - 30,NO
SUECIA,18 - 30,SI
ESPAÑA,18 - 35,NO
FRANCIA,18 - 35,NO
IRLANDA,18 - 35,NO
NUEVA ZELANDA,18 - 35,SI
,,
WH España,,
VISAS,Edad,Aplicar desde Exterior
AUSTRALIA,18-30,SI
NUEVA ZELANDA,18-30,SI
JAPÓN,18-30,NO
CANADÁ,18-35,SI
,,
WH Colombia,,
VISAS,Edad,Aplicar desde Exterior
FRANCE,18-30,NO
"ALIANZA DEL PACÍFICO (Chile, México, Perú)",18 - 30,SI
,,
,,
WH Mexico,,
VISAS,Edad,Aplicar desde Exterior
CANADA,18 - 29,SI
"ALIANZA DEL PACÍFICO (Colombia, Chile, Perú)",18 - 30,SI
NUEVA ZELANDA,18 - 30,SI
,,
WH Peru,,
VISAS,Edad,Aplicar desde Exterior
AUSTRALIA,18 - 30,SI
NUEVA ZELANDA,18-30,SI
,,
URUGUAY,,
ALEMANIA,18-30,SI
AUSTRALIA,18-30,SI
FRANCIA,18-30,SI
SUECIA,18-30,SI
NUEVA ZELANDA,18-35,SI